,RSI
860,55.25
861,47.47
862,46.55
863,37.46
864,28.92
865,21.14
866,24.76
867,10.83
868,18.25
869,37.13
870,50.32
871,49.68
872,59.53
873,65.02
874,62.38
875,67.54
876,78.62
877,62.52
878,52.78
879,61.75
880,67.97
881,61.01
882,60.7
883,54.13
884,57.37
885,56.1
886,55.52
887,39.59
888,17.19
889,19.09
890,27.23
891,36.17
892,38.84
893,34.41
894,44.8
895,52.37
896,66.98
897,78.81
898,80.84
899,76.15
900,60.0
901,72.12
902,84.1
903,72.92
904,68.92
905,58.23
906,44.47
907,37.85
908,37.33
909,45.93
910,51.53
911,56.36
912,58.44
913,64.09
914,69.16
915,79.95
916,73.35
917,72.8
918,72.38
919,67.37
920,54.24
921,56.8
922,45.45
923,66.8
924,75.64
925,64.84
926,58.42
927,61.47
928,55.63
929,66.49
930,68.5
931,68.81
932,71.36
933,69.21
934,75.86
935,91.57
936,76.2
937,70.8
938,67.67
939,71.52
940,72.69
941,63.73
942,62.32
943,63.89
944,62.27
945,83.61
946,90.51
947,87.09
948,82.85
949,78.21
950,79.76
951,90.28
952,94.67
953,93.84
954,80.34
955,80.98
956,86.15
957,80.61
958,89.72
959,90.79
960,87.97
961,87.22
962,69.66
963,70.45
964,66.39
965,50.72
966,47.96
967,20.26
968,43.26
969,49.86
970,52.49
971,50.51
972,51.41
973,54.85
974,71.18
975,77.51
976,84.76
977,80.52
978,73.7
979,71.0
980,89.3
981,50.42
982,49.36
983,49.89
984,45.41
985,34.56
986,42.33
987,49.6
988,47.96
989,43.8
990,74.15
991,75.34
992,61.38
993,64.55
994,77.07
995,79.46
996,76.55
997,82.42
998,91.08
999,78.87
1000,60.1
1001,69.84
1002,74.37
1003,67.26
1004,50.55
1005,49.2
1006,49.74
1007,40.0
1008,49.04
1009,58.23
1010,52.03
1011,46.6
1012,57.3
1013,63.78
1014,66.77
1015,57.89
1016,82.0
1017,57.39
1018,66.37
1019,70.29
1020,47.15
1021,37.03
1022,37.03
1023,40.62
1024,55.88
1025,59.55
1026,66.32
1027,62.88
1028,54.89
1029,82.38
1030,76.51
1031,63.2
1032,53.61
1033,53.89
1034,57.46
1035,63.54
1036,62.07
1037,64.1
1038,56.38
1039,54.08
1040,56.68
1041,59.89
1042,15.15
1043,16.87
1044,13.9
1045,11.64
1046,9.92
1047,25.07
1048,26.02
1049,32.35
1050,33.15
1051,60.44
1052,38.04
1053,43.78
1054,54.64
1055,63.52
1056,59.73
1057,64.65
1058,67.69
1059,68.33
1060,68.19
1061,93.33
1062,83.33
1063,68.87
1064,68.21
1065,61.83
1066,57.58
1067,56.87
1068,56.13
1069,56.66
1070,63.38
1071,70.9
1072,74.7
1073,76.26
1074,78.91
1075,82.65
1076,79.57
1077,80.37
1078,79.71
1079,84.55
1080,79.08
1081,91.71
1082,92.57
1083,92.32
1084,90.93
1085,79.12
1086,80.3
1087,82.22
1088,77.73
1089,87.26
1090,86.92
1091,82.85
1092,82.28
1093,60.63
1094,76.67
1095,73.86
1096,72.62
1097,76.14
1098,70.11
1099,74.12
1100,70.13
1101,66.42
1102,84.49
1103,63.05
1104,66.35
1105,64.78
1106,65.29
1107,68.27
1108,63.24
1109,66.56
1110,57.49
1111,40.8
1112,33.13
1113,43.27
1114,41.74
1115,27.31
1116,41.38
1117,43.96
1118,53.19
1119,55.07
1120,64.61
1121,68.21
1122,64.01
1123,53.6
1124,60.07
1125,44.29
1126,47.07
1127,31.5
1128,32.68
1129,40.86
1130,53.65
1131,54.12
1132,75.43
1133,59.01
1134,73.53
1135,77.93
1136,79.77
1137,81.14
1138,78.85
1139,73.32
1140,73.32
1141,61.67
1142,77.81
1143,57.8
1144,43.99
1145,25.91
1146,16.29
1147,23.62
1148,22.0
1149,26.04
1150,35.01
1151,26.11
1152,39.08
1153,40.93
1154,55.84
1155,51.35
1156,44.41
1157,49.3
1158,39.32
1159,30.07
1160,37.44
1161,35.22
1162,33.44
1163,22.78
1164,46.98
1165,51.53
1166,58.33
1167,66.42
1168,59.78
1169,66.94
1170,59.12
1171,60.8
1172,66.07
1173,53.37
1174,55.67
1175,39.02
1176,40.76
1177,61.82
1178,51.27
1179,59.54
1180,55.95
1181,46.55
1182,71.29
1183,72.1
1184,88.01
1185,90.6
1186,84.2
1187,84.14
1188,83.81
1189,84.39
1190,88.37
1191,85.07
1192,76.07
1193,74.17
1194,64.83
1195,76.82
1196,70.82
1197,72.46
1198,60.24
1199,56.44
1200,51.71
1201,47.17
1202,44.64
1203,45.0
1204,33.44
1205,22.06
1206,15.66
1207,26.23
1208,27.91
1209,22.5
1210,36.31
1211,45.73
1212,41.38
1213,49.78
1214,52.74
1215,51.86
1216,41.06
1217,48.51
1218,34.76
1219,26.45
1220,19.29
1221,19.68
1222,31.04
1223,37.43
1224,32.86
1225,36.47
1226,25.98
1227,37.38
1228,33.11
1229,38.03
1230,48.63
1231,49.11
1232,52.31
1233,60.63
1234,56.24
1235,61.55
1236,65.33
1237,83.13
1238,86.64
1239,85.66
1240,56.71
1241,57.67
1242,54.54
1243,50.27
1244,46.71
1245,39.85
1246,27.97
1247,29.35
1248,41.05
1249,60.55
1250,48.05
1251,45.92
1252,48.66
1253,47.67
1254,44.88
1255,36.47
1256,33.39
1257,9.1
1258,9.18
1259,19.7
1260,17.15
1261,27.99
1262,27.05
1263,25.13
1264,24.79
1265,23.04
1266,24.26
1267,35.1
1268,34.85
1269,36.08
1270,36.25
1271,46.66
