,RSI
739,58.26
740,62.67
741,81.94
742,75.74
743,87.93
744,88.0
745,66.89
746,69.33
747,54.1
748,52.0
749,63.43
750,55.87
751,51.81
752,59.52
753,57.92
754,75.22
755,72.34
756,87.28
757,87.43
758,81.68
759,80.8
760,98.75
761,98.52
762,98.53
763,91.01
764,93.83
765,93.98
766,94.44
767,96.2
768,77.32
769,74.12
770,63.64
771,68.28
772,71.18
773,67.65
774,64.04
775,62.37
776,65.57
777,76.37
778,64.63
779,84.38
780,61.31
781,46.72
782,43.23
783,44.39
784,47.46
785,37.5
786,33.05
787,38.1
788,36.44
789,47.25
790,69.72
791,76.88
792,70.79
793,60.98
794,64.42
795,81.55
796,72.81
797,59.02
798,53.89
799,46.91
800,28.1
801,39.61
802,46.27
803,44.62
804,48.57
805,46.9
806,55.15
807,65.44
808,75.74
809,55.98
810,46.2
811,32.31
812,25.16
813,27.69
814,25.64
815,28.49
816,34.75
817,32.73
818,36.36
819,28.93
820,34.32
821,41.03
822,41.59
823,49.81
824,56.72
825,51.65
826,50.55
827,59.1
828,94.52
829,98.31
830,92.77
831,86.07
832,81.6
833,76.65
834,52.11
835,54.42
836,41.5
837,42.08
838,33.71
839,24.9
840,34.98
841,48.22
842,47.02
843,57.96
844,56.9
845,48.92
846,35.71
847,32.15
848,51.09
849,44.26
850,36.15
851,27.73
852,21.85
853,18.86
854,30.89
855,40.32
856,41.91
857,34.08
858,30.13
859,28.47
860,30.77
861,45.41
862,60.11
863,55.35
864,63.96
865,73.3
866,76.17
867,87.17
868,86.13
869,93.12
870,93.21
871,72.96
872,75.12
873,75.58
874,74.76
875,57.78
876,63.83
877,63.04
878,53.11
879,55.86
880,64.29
881,57.59
882,37.06
883,33.96
884,55.0
885,59.62
886,55.69
887,63.27
888,46.46
889,53.96
890,61.44
891,46.67
892,46.53
893,38.38
894,18.82
895,25.13
896,24.48
897,29.57
898,24.28
899,16.56
900,23.21
901,18.44
902,18.84
903,22.22
904,42.41
905,31.16
906,32.73
907,27.6
908,25.68
909,36.75
910,43.94
911,48.21
912,51.69
913,44.4
914,57.54
915,53.89
916,43.27
917,34.88
918,24.66
919,35.14
920,29.75
921,24.04
922,21.86
923,36.43
924,41.03
925,61.27
926,73.42
927,76.14
928,67.7
929,69.0
930,88.83
931,88.44
932,86.39
933,67.39
934,62.03
935,69.87
936,73.45
937,69.52
938,71.07
939,69.68
940,64.32
941,59.79
942,77.71
943,77.46
944,76.92
945,50.97
946,62.67
947,61.93
948,50.0
949,60.89
950,45.68
951,34.63
952,34.31
953,28.46
954,39.81
955,41.79
956,38.1
957,58.59
958,56.73
959,74.48
960,86.6
961,68.02
962,64.26
963,63.95
964,56.44
965,47.92
966,23.58
967,27.39
968,31.64
969,20.82
970,24.24
971,36.87
972,25.81
973,27.0
974,49.43
975,65.7
976,64.42
977,63.32
978,74.44
979,76.5
980,79.68
981,98.5
982,99.66
983,97.41
984,92.02
985,91.62
986,92.65
987,93.7
988,94.4
989,78.76
990,74.87
991,70.91
992,55.45
993,62.22
994,62.72
995,58.13
996,53.8
997,40.57
998,46.24
999,54.95
1000,54.95
1001,69.32
1002,64.71
1003,48.45
1004,51.92
1005,52.15
1006,65.9
1007,75.36
1008,67.92
1009,67.92
1010,69.23
1011,51.14
1012,71.17
1013,72.81
1014,72.02
1015,71.74
1016,59.52
1017,62.34
1018,62.94
1019,60.69
1020,82.09
1021,60.56
1022,29.52
1023,20.0
1024,26.73
1025,27.41
1026,25.13
1027,19.44
1028,25.34
1029,21.96
1030,31.85
1031,54.04
1032,50.2
1033,41.0
